Country,Measurement,Values
Denmark,Social Support,1.16374
Denmark,Freedom to make life choices,0.57941
Denmark,Perceptions of corruption,0.44453
Denmark,Generosity,0.36171
Switzerland,Social Support,1.14524
Switzerland,Freedom to make life choices,0.58557
Switzerland,Perceptions of corruption,0.41203
Switzerland,Generosity,0.28083
Iceland,Social Support,1.18326
Iceland,Freedom to make life choices,0.56624
Iceland,Perceptions of corruption,0.14975
Iceland,Generosity,0.47678
Norway,Social Support,1.1269
Norway,Freedom to make life choices,0.59609
Norway,Perceptions of corruption,0.35776
Norway,Generosity,0.37895
Finland,Social Support,1.13464
Finland,Freedom to make life choices,0.57104
Finland,Perceptions of corruption,0.41004
Finland,Generosity,0.25492